Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Login,,,,19-06-2025 20:25:47,19-06-2025 20:25:50,3.059s,PASSED
,,,,,,,
Test Cases/Login Failed,,,,19-06-2025 20:25:47,19-06-2025 20:25:49,2.293s,PASSED
"response = sendRequest(findTestObject(""POST_Login_Failed""))",,,,19-06-2025 20:25:47,19-06-2025 20:25:49,1.982s,PASSED
"verifyResponseStatusCode(response, 400)",,,,19-06-2025 20:25:49,19-06-2025 20:25:49,0.011s,PASSED
"verifyElementPropertyValue(response, ""error"", ""Missing password"")",,,,19-06-2025 20:25:49,19-06-2025 20:25:49,0.035s,PASSED
,,,,,,,
Test Cases/Login Success,,,,19-06-2025 20:25:49,19-06-2025 20:25:50,0.482s,PASSED
"response = sendRequest(findTestObject(""POST_Login_Success""))",,,,19-06-2025 20:25:49,19-06-2025 20:25:50,0.437s,PASSED
"verifyResponseStatusCode(response, 200)",,,,19-06-2025 20:25:50,19-06-2025 20:25:50,0.003s,PASSED
"verifyElementPropertyValue(response, ""token"", ""QpwL5tke4Pnpja7X4"")",,,,19-06-2025 20:25:50,19-06-2025 20:25:50,0.013s,PASSED
